,gid,id_merchant,id_brand,nama_merchant,alamat_merchant,phone_merchant,longitude,latitude,kode_desa,kode_brand,id_desa,geom,nama_brand,nama_sub_kategori,nama_kategori
984,5445361,5445361,823,Hotel Aceh Besar,Pluit,,106.7799306,-6.1156623,3175010005,2018001,141057.0,POINT (106.7799306 -6.1156623),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
985,4210173,4210173,603,Me dan Friends Daycare,Kelapa Gading Timur,081297975508,106.9014482,-6.1754981,3175050002,2014001,148219.0,POINT (106.9014482 -6.1754981),Daycare (Others),Daycare,Tourism
986,4209487,4209487,672,Felix Gym,"Jl. Cemara Angin No. 15, Rawabadak Utara, Koja, Jakarta Utara",,106.9025584,-6.1215741,3175040005,2404001,140070.0,POINT (106.9025584 -6.1215741),Fitness Center (Others),Fitness Center,Sport
987,4210141,4210141,603,Citra Bunda Daycare,"Plaza Pasifik, Jl. Boulevard Barat Raya",,106.897058,-6.155435,3175050001,2014001,146913.0,POINT (106.897058 -6.155435),Daycare (Others),Daycare,Tourism
988,4209506,4209506,672,J3 Ray Gym,"Jl. Luar Batang V No. 6, Penjaringan, Penjaringan, Jakarta Utara",,106.804375,-6.123359,3175010004,2404001,140950.0,POINT (106.804375 -6.123359),Fitness Center (Others),Fitness Center,Sport
989,5446118,5446118,823,Ethan Hotel and Cafe,Pegangsaan Dua,,106.915427700132,-6.16858870000845,3175050003,2018001,115.0,POINT (106.915427700132 -6.16858870000845),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
990,5446135,5446135,823,Cordex Ancol Jakarta,"Lodan Center Complex, Jl. Lodan Raya No. 2",,106.816637499987,-6.12963699990965,3175020003,2018001,121304.0,POINT (106.816637499987 -6.12963699990965),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
991,5446137,5446137,823,Hotel Zia Sanno Jakarta - Pluit,Jl. Pluit Selatan Raya No. 2,,106.798448500052,-6.12395289996949,3175010005,2018001,141057.0,POINT (106.798448500052 -6.12395289996949),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
992,5446138,5446138,823,Ozone Hotel,Jl. Pantai Indah Utara 3 No. 40,,106.752576999932,-6.11279079995971,3175010002,2018001,139532.0,POINT (106.752576999932 -6.11279079995971),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
993,5446139,5446139,823,"Holiday Inn Express Jakarta Pluit Citygate, An Ihg Hotel","Emporium Pluit Mall 10th Floor, Jl. Pluit Selatan Raya",,106.790369299869,-6.12700580001527,3175010004,2018001,140950.0,POINT (106.790369299869 -6.12700580001527),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
994,5446140,5446140,823,Favehotel Pluit Junction,Penjaringan,,106.791209200079,-6.12606999996732,3175010004,2018001,140950.0,POINT (106.791209200079 -6.12606999996732),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
995,5446141,5446141,823,Grand Asia Hotel,Pejagalan,,106.794967499937,-6.13760039991348,3175010003,2018001,140006.0,POINT (106.794967499937 -6.13760039991348),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
996,4210131,4210131,672,Stellar Performance Fitness By Fitness Indonesia Kelapa Gading,"Jl. Raya Kelapa Nias, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara",,106.9076154,-6.1530951,3175050001,2404001,146913.0,POINT (106.9076154 -6.1530951),Fitness Center (Others),Fitness Center,Sport
997,4210275,4210275,672,Lea Gym,"Jl. Kebantenan I No. 14A, Semper Timur, Cilincing, Jakarta Utara",,106.929625,-6.1085838,3175060005,2404001,149985.0,POINT (106.929625 -6.1085838),Fitness Center (Others),Fitness Center,Sport
998,5446275,5446275,823,Darcici Hotel,Jl. Sunter Permai Raya,,106.863154400077,-6.1316979000759,3175030003,2018001,142939.0,POINT (106.863154400077 -6.1316979000759),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
999,5446277,5446277,823,Whiz Prime Hotel Kelapa Gading,"Ruko INKOPAL, Jl. Boulevard Barat B No. 18",,106.892606999963,-6.15357829996062,3175050001,2018001,146913.0,POINT (106.892606999963 -6.15357829996062),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
1000,5446280,5446280,823,Hotel Santika Kelapa Gading,Kelapa Gading Barat,,106.902984600049,-6.14968390004466,3175050001,2018001,146913.0,POINT (106.902984600049 -6.14968390004466),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
1001,5446621,5446621,823,Golden Sky Condotel,Jl. Taman Pluit Kencana Selatan,,106.789423399974,-6.12083920004314,3175010005,2018001,141057.0,POINT (106.789423399974 -6.12083920004314),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
1002,5446627,5446627,823,"Holiday Inn Express Jakarta International Expo, An Ihg Hotel","Jalan, Arena Pekan Raya Jkt - Kemayoran, Jl. H. Benyamin Sueb",,106.845290200083,-6.14341100010112,3175020002,2018001,139560.0,POINT (106.845290200083 -6.14341100010112),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
1003,4732029,4732029,131,Plaza Bintang Makmur Pademangan,Jl. Re. Martadinata No. 2 - 4,0216900778,106.822,-6.132,3175020003,1307002,121304.0,POINT (106.822 -6.132),Dealer Yamaha,Motorcycle Dealer,Commercial
1004,4209458,4209458,672,Snap Fitness Pantai Indah Kapuk,"Jl. Pantai Indah Utara 2 Blok No. 8ed, Kapuk Muara, Penjaringan, Jakarta Utara",,106.7573394,-6.116611,3175010002,2404001,139532.0,POINT (106.7573394 -6.116611),Fitness Center (Others),Fitness Center,Sport
1005,4209488,4209488,672,Dian Fitness Center Rawabadak Utara,"Jl. Janur Kuning Kk 21, Rawabadak Utara, Koja, Jakarta Utara",,106.8988318,-6.122158,3175040005,2404001,140070.0,POINT (106.8988318 -6.122158),Fitness Center (Others),Fitness Center,Sport
1006,5447002,5447002,823,Ibis Styles Jakarta Mangga Dua Square,Jl. Pagoda,,106.832228499979,-6.13887869995491,3175020003,2018001,121304.0,POINT (106.832228499979 -6.13887869995491),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
1007,4209540,4209540,672,Zealot Muaythai Sunter,Sunter Agung,,106.8563697,-6.141029,3175030001,2404001,141576.0,POINT (106.8563697 -6.141029),Fitness Center (Others),Fitness Center,Sport
1008,4209461,4209461,672,Warrior Bronx Pademangan,"Jl. Pademangan Timur IV No. 37, Pademangan Timur, Pademangan, Jakarta Utara",,106.8404947,-6.1369069,3175020002,2404001,139560.0,POINT (106.8404947 -6.1369069),Fitness Center (Others),Fitness Center,Sport
1009,5447092,5447092,823,Coins Hotel Indonesia,"Blok A, Jl. Sunter Agung Utara D2 No. 5B",,106.862971600025,-6.13843169987941,3175030001,2018001,141576.0,POINT (106.862971600025 -6.13843169987941),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
1010,5447093,5447093,823,Ibis Styles Jakarta Sunter,Jl. Gaya Motor I,,106.886001999987,-6.14033690006575,3175030005,2018001,142830.0,POINT (106.886001999987 -6.14033690006575),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
1011,5331291,5331291,190,Toko Sukoiko Store,Pasar Elang,08138707707,106.8432819,-6.1353621,3175020002,1317001,139560.0,POINT (106.8432819 -6.1353621),Fashion Store (Others),Fashion Store,Commercial
1012,5331298,5331298,190,Toko Dua Saudara,"Pasar Pagi Mangga Dua, Lantai 2 Blok B No. 145149, Jl. Mangga Dua Raya",085210107475,106.8221699,-6.1363065,3175020003,1317001,121304.0,POINT (106.8221699 -6.1363065),Fashion Store (Others),Fashion Store,Commercial
1013,5331302,5331302,190,Wacoal,"Pik Avenue, Jl. Pantai Indah Kapuk No. 6",,106.7404914,-6.109692,3175010001,1317001,139464.0,POINT (106.7404914 -6.109692),Fashion Store (Others),Fashion Store,Commercial
1014,5447194,5447194,823,Cabin Hotel,"Bursa Otomotif Sunter, Jl. Yos Sudarso No. Kav. 87 - 88",,106.887601700059,-6.14770929998099,3175030002,2018001,142414.0,POINT (106.887601700059 -6.14770929998099),Hotel Bintang 3 (Others),Hotel Bintang 3,Tourism
1015,5331324,5331324,190,NRDN Store,Jl. Mindi No. 40,081284000901,106.903985,-6.1151401,3175040004,1317001,145456.0,POINT (106.903985 -6.1151401),Fashion Store (Others),Fashion Store,Commercial
1016,4209511,4209511,603,Home Sweet Home Daycare,"Jl. Pluit Karang Jelita Blok N5 Barat no.41 RT 2 RW 17, Pluit",085772823895,106.78115,-6.1146,3175010005,2014001,141057.0,POINT (106.78115 -6.1146),Daycare (Others),Daycare,Tourism
1017,4209512,4209512,603,Nurtureone Daycare,"Jl. Pluit karang molek IX b2, selatan No. 8 RT 8 RW 2, Pluit",082111861600,106.7752602,-6.1113392,3175010005,2014001,141057.0,POINT (106.7752602 -6.1113392),Daycare (Others),Daycare,Tourism
1018,5331343,5331343,190,H dan M,Jl. Boulevard Barat Raya,,106.8919895,-6.1512769,3175050001,1317001,146913.0,POINT (106.8919895 -6.1512769),Fashion Store (Others),Fashion Store,Commercial
1019,5331353,5331353,190,Toko Djohan,Pasar Pagi Mangga Dua Lantai 2,0818867618,106.8218889,-6.1362721,3175020003,1317001,121304.0,POINT (106.8218889 -6.1362721),Fashion Store (Others),Fashion Store,Commercial
1020,5331367,5331367,190,Toko Kayser Jersey,Jl. Duta Harapan Indah,087878832497,106.7717172,-6.1357869,3175010002,1317001,139532.0,POINT (106.7717172 -6.1357869),Fashion Store (Others),Fashion Store,Commercial
1021,5331369,5331369,190,Raja FO Pik Jakarta,Jl. Marina Indah,082261186633,106.7430501,-6.1125922,3175010001,1317001,139464.0,POINT (106.7430501 -6.1125922),Fashion Store (Others),Fashion Store,Commercial
1022,5331374,5331374,190,Sebastianred Votum Sebastiansposa,Jl. Danau Sunter Selatan,0216513363,106.8634025,-6.1476361,3175030001,1317001,141576.0,POINT (106.8634025 -6.1476361),Fashion Store (Others),Fashion Store,Commercial
1023,5331375,5331375,190,Kaos Polos Gildan Indonesia,"RB 1 Jakarta, Jl. Raya Kelapa Hybrida Blok RB1 No. 22",081285495555,106.9124309,-6.1482054,3175050003,1317001,115.0,POINT (106.9124309 -6.1482054),Fashion Store (Others),Fashion Store,Commercial
1024,5331380,5331380,190,Aye Denim,Jl. Boulevard Barat Raya,085715388807,106.9007605,-6.1574399,3175050001,1317001,146913.0,POINT (106.9007605 -6.1574399),Fashion Store (Others),Fashion Store,Commercial
1025,5331393,5331393,190,Mode F. O Pik,"Ruko Metro Galery Blok 8DRDS, Jl. Pantai Indah Utara 2",083875494782,106.7577776,-6.1160461,3175010002,1317001,139532.0,POINT (106.7577776 -6.1160461),Fashion Store (Others),Fashion Store,Commercial
1026,5331400,5331400,190,Emilian Boutique,"Perum. Danau Indah Xiv Blok B4 No. 27, Jl. Danau Indah",081513035701,106.8810679,-6.1543543,3175030002,1317001,142414.0,POINT (106.8810679 -6.1543543),Fashion Store (Others),Fashion Store,Commercial
1027,5331408,5331408,190,Publicity Factory Outlet,Ruko Cordoba,02156947969,106.7448113,-6.1121611,3175010001,1317001,139464.0,POINT (106.7448113 -6.1121611),Fashion Store (Others),Fashion Store,Commercial
1028,5331419,5331419,190,Quotenation. Id,Jl. Pademangan I Gg. 5 No. 3A,081297010875,106.8430321,-6.1425271,3175020002,1317001,139560.0,POINT (106.8430321 -6.1425271),Fashion Store (Others),Fashion Store,Commercial
1029,5331428,5331428,190,Natasya Busana Fashionbusana Muslimwarakaspapanggotanjung Priokjakarta Utara,III Gg. 7 Jl. Warakas Raya No. 20B,081315331219,106.8777924,-6.1191106,3175030004,1317001,142954.0,POINT (106.8777924 -6.1191106),Fashion Store (Others),Fashion Store,Commercial
1030,5331443,5331443,190,Moishells Kelapa Gading,Kelapa Cengkir Barat XI,081281273757,106.9056367,-6.1632884,3175050002,1317001,148219.0,POINT (106.9056367 -6.1632884),Fashion Store (Others),Fashion Store,Commercial
1031,5331450,5331450,190,Street Jersey,Ruko Prima Sunter,081908266182,106.8850784,-6.1418137,3175030002,1317001,142414.0,POINT (106.8850784 -6.1418137),Fashion Store (Others),Fashion Store,Commercial
1032,5331451,5331451,190,Pull dan Bear,Jl. Kelapa Kopyor Raya No. 13,02145876406,106.907127,-6.160382,3175050002,1317001,148219.0,POINT (106.907127 -6.160382),Fashion Store (Others),Fashion Store,Commercial
1033,5331458,5331458,190,The Luxe Culture,Jl. Pantai Indah Kapuk No. 6,087785257788,106.7404341,-6.1083922,3175010001,1317001,139464.0,POINT (106.7404341 -6.1083922),Fashion Store (Others),Fashion Store,Commercial
1034,5331467,5331467,190,Elok Sanggar Busana,Jl. Janur Elok 1,0214502752,106.9061761,-6.1518222,3175050001,1317001,146913.0,POINT (106.9061761 -6.1518222),Fashion Store (Others),Fashion Store,Commercial
1035,5331471,5331471,190,Justice Kelapa Gading,Jl. Boulevard Raya,02145849067,106.9095861,-6.1565119,3175050002,1317001,148219.0,POINT (106.9095861 -6.1565119),Fashion Store (Others),Fashion Store,Commercial
